CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
chwa,www.chwa.com.tw,Staffing and Recruiting,"GANTHIER, OUEST",Ayiti,"CHWA est une soci?©t?© de consulting sp?©cialis?© dans les domaines de la finance, de l'ing?©nierie, des NTIC et du tourisme exclusivement r?©serv?© au march?© ha?Øtien, qui a besoin de professionnels pour d?©velopper son ?©conomie. CHWA met l'accent sur la comp?©tence, l'exp?©rience, les connaissances du candidat peu importe son appartenance sociale dans la soci?©t?© ha?Øtienne.

CHWA is a consulting company specialized in  finance, engineering, new technologies and tourism exclusively reserved to the haitian market that is in need of prfoesionnal individuals to help in the development of its economy. CHWA underlines the skills, the experience and the knowledge of its candidate regardless his or her social class in the haitian society.

CHWA se yon entrepriz kap chach?© moun moun ki esp?©cializ?© nan dom?®n finans, injeny?®, teknologi, touris espesyalman pou mach?© ayisyen an ki bezwen pwof?©syon?®l pou d?©vlop?© ?©konomi li a. CHWA souliy?© impotan konpetans, eksperyans, kon?©sans kandida li yo nempot kot?© yo soti nan sosyete ayisy?®n lan.",2-10 employees,2024-08-27 20:34:00,6733.0,425GB,['unknown'],RansomHub
mineduc - ministerio de educaci??n - guatemala,www.spie-tec.de,,,,MINEDUC - Ministerio de Educaci??n - Guatemala is a company based out of Guatemala.,,2024-08-26 12:56:00,7431.0,10GB,"['PII', 'Legal Documents']",RansomHub
prasarana malaysia berhad,prasarana.com.my,"Transportation, Logistics, Supply Chain and Storage",Kuala Lumpur,Malaysia,"About Prasarana Malaysia Berhad

Prasarana Malaysia Berhad (ÄúPrasaranaÄù) is a wholly-owned Government company established by the Ministry of Finance, set up to facilitate, undertake and expedite public infrastructure projects approved by the Government. Prasarana and its group of companies are asset-owners and operators of several public transport services, namely the LRT Ampang/ Sri Petaling and LRT Kelana Jaya lines, the KL Monorail system, as well as bus operations in Klang Valley, Penang and Kuantan. 

The operations of these public transport systems are under the purview of PrasaranaÄôs subsidiaries Rapid Rail Sdn Bhd (Rapid Rail) and Rapid Bus Sdn Bhd (Rapid Bus) under the Rapid KL brand name. 

Rapid Rail are also operators of the two MRT lines Äì the Kajang Line and the Putrajaya Line. The company operates and maintains the urban rail services, covering 149 stations over a span of 205 km in total.

Rapid Bus operates in the Klang Valley, Penang, and Kuantan, operating under the brands Rapid KL, Rapid Penang, and Rapid Kuantan respectively. In addition to their regular bus services, the company also operates BRT in Bandar Sunway, and feeder buses that serve LRT and MRT stations.

Prasarana is also currently developing a third LRT system Äì the LRT Shah Alam Line Äì which is scheduled to commence revenue operations in the first quarter of 2025.","10,001+ employees",2024-08-25 14:58:00,8215.0,316GB,['unknown'],RansomHub
swinburne university of technology,saudi arabia(general secretariat of the military service council),Higher Education,Melbourne,Australia,"Swinburne University of Technology is a world-class university creating social and economic impacts through science, technology and innovation. In 2022, Swinburne ranked in the top 250 global universities in the Academic Ranking of World Universities (ARWU), confirming its place in the top 1% of universities worldwide. Swinburne confirmed its place in the top 50 universities in the world under 50 years old, rising twelve places in the 2022 Times Higher Education (THE) Young University Rankings. 

We're a large and culturally diverse organisation with a desire to innovate and bring about positive change. Swinburne offers undergraduate and postgraduate courses, vocational education and research qualifications. We have three campuses located in the eastern suburbs of Melbourne Äî at Hawthorn, Croydon and Wantirna, as well as a fourth campus in Sarawak, Malaysia. The National Institute of Circus Arts is located in Prahran, Melbourne and we also offer a range of qualifications online through Swinburne Online and Open Universities Australia. In 2019, we unveiled new locations in Sydney and Vietnam and also opened an office in Nanjing, China Äì further connecting us to some of the fast-growing regions in the world.

Join the conversation, follow us on:
Facebook: https://www.facebook.com/swinburneuniversityoftechnology
Twitter: @Swinburne
Instagram: @Swinburne
TikTok: @SwinburneUniversity
YouTube: https://www.youtube.com/channel/UCzA9KPphNMJEK1J4gWebNQQ

Swinburne University of Technology: https://www.swinburne.edu.au/
Jobs at Swinburne: https://swinjobs.nga.net.au/cp/index.cfm?event=jobs.home

Swinburne University Sarawak, Malaysia campus: https://www.swinburne.edu.my/
For jobs at our Sarawak campus: https://www.swinburne.edu.my/hr/search-apply.php

CRICOS provider code: 00111D
Training Organisation Identifier (TOID): 3059
TEQSA PRV12148 Australian University","1,001-5,000 employees",2024-08-22 08:11:00,10660.0,140GB,['unknown'],RansomHub
whittaker co,www.banhampoultry.co.uk,Facilities Services,"New Castle, PA",United States,"Consistently Cleaner Carpet. Smart Service.Ñ¢ Whittaker is committed to ensuring carpet adds beauty to each facility as its designer, manufacturer and installer intended. Our low-moisture carpet cleaning machines Äì including our exclusive three-TRIO Äì makes carpet care as simple as possible.",11-50 employees,2024-08-21 12:03:00,9931.0,50Gb,"['Legal Documents', 'Employee and HR Data']",RansomHub
capital fund 1,capitalfund1.com,Real Estate,"Scottsdale, Arizona",United States,"For over a decade, Capital Fund 1 has partnered with hundreds of real estate investors to provide them the capital they need. With over $4 billion in loans funded throughout the western US, we have built a reputation as a premier hard money lender. From the traditional fix and flip financing to specialized bridge loans, our loan menu is reflective of the growing real estate markets in areas we serve. Our team is experienced in offering competitive bridge, acquisition, and construction loan programs for your land, residential and commercial real estate investments. As a value add to our borrowers, the CF1 team is equipped to examine, underwrite, process, and fund properties within 24 business hours - all while keeping rates and fees competitive. 

Beyond being a capital partner, we have invested heavily in helping real estate investors grow their business. In the couple years, we've built our proprietary underwriting software from the ground up to better protect our investor dollars and borrowers' businesses. In 2021, we released those tools to the public at no cost. An example of our commitment to the real estate community.
(BK - 0917799/NMLS #396288)",51-200 employees,2024-08-20 18:29:00,9344.0,*GB,"['Customer and Client Data', 'Legal Documents', 'PII', 'Healthcare Data', 'Employee and HR Data', 'Databases']",RansomHub
blower-dempsay corporation,blowerdempsay.com,Packaging & Containers,"Santa Ana, California",United States,"Founded by the Blower and Dempsay families as a corrugated box sheet plant in 1973, Pacific Western Container later formed sister company, Pak West, as our paper and packaging distribution arm.

In 1995, the packaging systems division was created, followed by the acquisition of Pacific Conveyor Systems, the custom conveyor manufacturing and engineering division. Later came the recycling division, an automated guided vehicle division, and a graphic arts department.

Our latest development is Pacific Flexible Solutions, or PacFlex, designers, importers and/or manufacturers of direct food contact films and containers. We have also expanded out of our Orange County headquarters to nine states in the Western US and beyond while keeping our family first values and entrepreneurial spirit.",51-200 employees,2024-08-20 20:37:00,9550.0,679GB,['Employee and HR Data'],RansomHub
inlighten,inlighten.net<Disclose>,Broadcast Media Production and Distribution,"Clarence, New York",United States,"inLighten is the leading provider of digital media solutions including traditional and interactive digital signage, self-service kiosks, video walls, check-in solutions, on-hold and environment audio and more. inLightenÄôs intuitive, cloud-based management system enables creation, scheduling and distribution of dynamic content from inLightenÄôs hosted network.  Over 2,000 institutions in the U.S. and across the world engage their audiences with inLighten products each day.",51-200 employees,2024-08-20 20:33:00,4596.0,1.8TB,['Customer and Client Data'],RansomHub
network configurations - netconfig,www.netconfig.co.za,Information Technology & Services,,,"Network Configurations is a leading Managed Services Provider (MSP) & IT Outsourcing company that focuses on organizations with a high dependency on technology within their businesses. We focus on IT Department outsourcing for Small & Medium sized businesses (Up to 250 Users). Our Head Office is based in Durban with offices in Johannesburg and IT services delivered on a national level.

If you ever wished you had your own IT department, donÄôt! You do not need one! As a client of Network Configurations, we will take care of your IT needs so that you can focus on what's important - Your Company!

Our unique service 

At Network Configurations we believe in people, partnerships, services and support!",51-200 employees,2024-08-17 17:48:00,10557.0,20Gb,['Employee and HR Data'],RansomHub
regent caravans,www.regentcaravans.com.au,Travel Arrangements,Somerton,United Kingdom,"Regent Caravans is a retail company based out of Warehouse 2/24-32 Stanley Dr, Somerton, Australia.",51-200 employees,2024-08-17 17:39:00,10540.0,30Gb,['unknown'],RansomHub
allanmcneill chartered accountants,www.allanmcneill.co.nz,Accounting,Palmerston North,New Zealand / Aotearoa,"At AllanMcNeill, we combine accounting and management disciplines with real world experience to solve business challenges. We enable our clients to achieve their goals through sound financial and strategic decision making.",11-50 employees,2024-08-17 17:31:00,9959.0,30Gb,['Customer and Client Data'],RansomHub
lennartsfors ab,www.lennartsfors.com,Motor Vehicle Manufacturing,"?Örj?§ng, V?§rmland",Sverige,"Lennartsfors AB develops, manufacture and distribute, niched vehicles and machines for transport in both terrain and road",11-50 employees,2024-08-17 17:29:00,9787.0,10Gb,['unknown'],RansomHub
vinakom,www.vinakom.com,Telecommunications,"Schaumburg, IL",United States,"VinaKom is a leading internet service provider and telecommunications company  with over 1500 miles of independently owned fiber optic infrastructure. 

We specialize in:
Ä¢ Multi-Protocol Dynamic Layered Transport
Ä¢ Advanced Network Management & Security (IDS & IPS) 
Ä¢ Voice (VoIP), Private Cloud & Data Center Services
Ä¢ Managed Dark & Lit Optical (Fiber) Services

To put it simply:  VinaKom excels at creating custom engineered network solutions that are tailored to meet your companyÄôs specific needs.   With bandwidth being the key to connectivity in the modern workplace.  We serve as a one stop show for all of your network connectivity and customized solution requirements. 

VinaKomÄôs products and services help you stay focused on your customers, rather than downtime, thanks to our 24/7 engineers*. Our solutions aim to provide you with quality voice and data to keep you connected with the modern world. You want the most advanced technology, which is why we give this to you without the hassle.  

*VinaKom Telecommunications Cisco and Microsoft certified engineers",51-200 employees,2024-08-16 20:38:00,10524.0,151GB,['Customer and Client Data'],RansomHub
isnart,www.isnart.it,Government Relations,"Roma, Lazio",Italia,"ISNART - Istituto Nazionale Ricerche Turistiche - Societ? Consortile per Azioni ""in house"" al sistema camerale, realizza studi e pubblicazioni sul turismo, indagini, rilevazioni e progetti di fattibilit?, elaborazione dati, costituzione e forniture di banche dati ed Osservatori, svolgimento di attivit? editoriali e di promozione e diffusione con ogni mezzo dei propri servizi, organizzazione di convegni, seminari e dibattiti in ambito turistico.

Partner strategico di amministrazioni pubbliche, la nostra mission ?® quella di porci come punto di riferimento qualificato per lÄôosservazione e lo studio dei fenomeni turistici e per accompagnare la qualificazione e lo sviluppo delle imprese dellÄôintera filiera turistica italiana.

Per questo, da oltre 20 anni, in ISNART, realizziamo:
- osservatori e indagini che contribuiscono a monitorare e prevedere lÄôandamento dellÄôofferta turistica del nostro Paese, anche attraverso lÄôutilizzo di Big Data e Open Data messi a disposizione della Pubblica Amministrazione, fornendo ai decision maker istituzionali le necessarie basi documentali per lÄôanalisi e lÄôinterpretazione del mercato turistico nazionale;
- percorsi di accompagnamento per lÄôaccrescimento della cultura dÄôimpresa delle imprese turistiche, anche attraverso specifica progettualit? e percorsi di certificazione perch?© possano migliorare la propria offerta e la conseguente capacit? competitiva.

Partecipiamo, inoltre, a programmi comunitari per il turismo sostenibile, aderendo alla rete europea Necstour in qualit? di partner ufficiale e partecipando ai Forum promossi dalla DG Grow - Unit? turismo della Commissione Europea.

Da oltre 25 anni, affianchiamo Unioncamere, le Camere di Commercio e loro Unioni Regionali per sviluppare progetti, in partnership con le associazioni di categoria, finalizzati a ridurre le disomogeneit? che tuttÄôoggi caratterizzano lÄôofferta turistica italiana e per favorire l'integrazione super ed interregionale dei singoli prodotti turistici.",11-50 employees,2024-08-15 11:39:00,10270.0,10Gb,['unknown'],RansomHub
natural curiosities,naturalcuriosities.com,Design Services,"Chatsworth, California",United States,"Natural Curiosities is an American Art House based in California and has been in business for over 20 years. 

We are a complete Art experience supplying Printed, Handmade and Fine Art through NC and our affiliate brands, Arte Maison and The Curio Gallery.

Our objective is to be a one-stop Art experience that covers all the needs of any project, whether it is a price conscious budget all the way to a one-of-a-kind Fine Art installation.

Our clients include the global interior design community, hospitality and commercial projects worldwide, private label collections for box stores and custom specific projects.

Based on our domestic production we offer customization on all our collections and provide a customer service experience using our in house Art Consultants.

For any inquires please contact: info@naturalcurisoties.com ",11-50 employees,2024-08-11 17:24:00,12402.0,3GB,"['Intellectual Property', 'Databases', 'Financial Data']",RansomHub
jefferson county clerk's office,Jeffersoncountyclerk.org,Government Administration,"Louisville, Kentucky",United States,"The Jefferson County ClerkÄôs Office is a State Constitutional office with varied duties governed by the Kentucky Revised Statutes. Our office is responsible for public documents and information recorded, indexed and filed within Jefferson County.

The Jefferson County Clerk, Bobbie Holsclaw, serves as the Chairwoman of the Jefferson County Board of Elections and plays a key role in the conduct of elections. All petitions for candidates for elective county offices are filed with the County Clerk and drawing for ballot positions is conducted by the Clerk. She is responsible for printing ballots, canvassing the votes at Primary and General Elections; and, along with other Jefferson County Board of Election board members, certifies Election Day votes to the Secretary of State of the Commonwealth of Kentucky.",201-500 employees,2024-08-11 12:30:00,12509.0,47GB,"['Databases', 'Customer and Client Data']",RansomHub
whittaker co,alliuminteriors.co.nz,Facilities Services,"New Castle, PA",United States,"Consistently Cleaner Carpet. Smart Service.Ñ¢ Whittaker is committed to ensuring carpet adds beauty to each facility as its designer, manufacturer and installer intended. Our low-moisture carpet cleaning machines Äì including our exclusive three-TRIO Äì makes carpet care as simple as possible.",11-50 employees,2024-08-09 15:16:00,12295.0,31GB,"['Intellectual Property', 'Databases', 'Financial Data']",RansomHub
lmgroup,lmgroup.com<Disclose>,Automation Machinery Manufacturing,"Toledo, Castilla-La Mancha",Spain,"LMGROUP, was born as a company dedicated to the service and development of equipment for industrial automation, providing technical and innovative solutions and growth to its activity and modernization. We stand out for the high quality and recognition of our products, for the constancy in innovative research and for the efficient after-sales service. Our services range from the design and planning of the solution to after-sales service and re-engineering, which we develop together with the customer.",51-200 employees,2024-07-14 05:42:00,12860.0,2+TB,"['Customer and Client Data', 'Legal Documents', 'Employee and HR Data']",RansomHub
kempe engineering australia,kempe.com.au,Industrial Machinery Manufacturing,"Geelong, Victoria",Australia,"Kempe is a leading world class specialist engineering company providing maintenance, modernisation and process equipment products and services. Our purpose is to work in long term relationships to develop and add value to our clientsÄô capital assets in a flexible and collaborative manner. We provide custom designed engineering solutions to suit your specific needs supported by our in-house global delivery model which includes emerging market sourcing.
 
We strive for excellence by focusing on the following client outcomes:

Zero harm safety 
Aligning with your vision, mission and values 
Reducing whole of life costs 
Delivering ongoing constant improvement outcomes 
Providing state of the art technology 
Delivering Projects / Services on time, to cost and to specification safely 
 
Our core group service offerings include:

Site Maintenance including Specialist Services 
Shutdowns 
Products, Materials & Spares 
Workshop Services 
Engineering & Technical Services 
Technology & Projects ",201-500 employees,2024-08-09 14:07:00,12087.0,4TB,"['Customer and Client Data', 'PII', 'Employee and HR Data']",RansomHub
golfoycom,golfoy.com,Sporting Goods Manufacturing,Chandigarh,India,"Golfoy.com is made up of passionate golfers, geeky web coders, ingenious merchandisers and tenacious customer representatives. Since 2014, we have been building Golfoy into one of India's largest and most trusted online golf store. With a motive of making golf affordable and available pan India, we started off with Pre-Owned golf balls at rock bottom prices for golfers to play without worrying. Over the years, in continuation to our mission we developed affordable in house golf brands Äì Viper Golf & Golfoy Basics, which became instant hit with our customers. Today, we offer world-class selection of branded golf equipment, golf apparel, golf accessories, golf technology and golf gifts for golfers of all ages and abilities. Premier merchandise brands include TaylorMade, Callaway, Mizuno, Dunlop, Adidas, Srixon, Cleveland, US Kids, PING, Titleist, Nike Golf, FootJoy and more. But it's more than just merchandise that sets Golfoy.com apart from other golf retailers. Our Golfoy Customer Program ensures you save on every purchase you make at Golfoy. By just creating an account you can earn Golf bucks in all* your orders, which you can redeem in every subsequent purchase.",11-50 employees,2024-08-08 22:46:00,13781.0,3GB,"['Intellectual Property', 'Databases', 'Financial Data']",RansomHub
investment dar bank,inv-dar.com,Banking,,,"Investment Dar Bank (DarBank) is an Islamic Investment Bank, with an authorized
capital of US$ 1 billion and a subscribed and paid-up capital of US$ 200 million.
Dar Bank was incorporated in August 2007 in the Kingdom of Bahrain and offers a
broad range of innovative, ShariÄôah compliant investment products and services.",11-50 employees,2024-08-08 19:44:00,14048.0,15GB,['unknown'],RansomHub
rational enterprise,rationalenterprise.com<disclose>,Software Development,"Albany, NY",United States,"Rational Enterprise is a provider of Information Governance and eDiscovery software and services specifically designed for law firms and corporations. We were founded in 2006 and have offices in New York, Albany, Miami, and London. We are one of the few family-owned companies left in the industry, driven by our reputation rather than profit.  

We are specialists in Information Governance and eDiscovery, with 15 years of experience in the industry. We help corporations proactively take control of their enterprise data and assist companies and law firms navigate the eDiscovery process in the most cost effective and efficient way possible. Our propriety software is equipped with cutting-edge analytics and predictive coding technology and we have a strong focus on project management and user experience. 

We provide full support in Europe and in North and South America, with local data hosting, a team of dedicated senior consultants and project managers, and the highest data security standards in the industry. ",51-200 employees,2024-08-08 18:52:00,13259.0,2TB,['unknown'],RansomHub
modern ceramics mfg,modernceramics.com,"Glass, Ceramics and Concrete Manufacturing","San Jose, California",United States,,11-50 employees,2024-08-02 10:55:00,13787.0,300GB,"['Databases', 'Customer and Client Data']",RansomHub
amplicon international,amplicon.com,IT Services and IT Consulting,Brighton,United Kingdom,"Amplicon International, with unrivalled experience in distribution & manufacture and a history of over 40 years based firmly in engineering, has been exporting a range of advanced computer-based measurement & automation systems and products for much of its history. However, it wasn't until 1983 that Amplicon formalised its international sales effort by employing a dedicated sales team to support this area of the business.

Amplicon International has its own dedicated offices, marketing resources and sales team; and as an international business Amplicon has world-wide representation through a comprehensive network of distributors. To support a growing international presence Amplicon will be looking to appoint new distributors building on the already successful distribution channel and further leveraging the brand name of Amplicon.",11-50 employees,2024-08-07 16:04:00,14640.0,313gb,['unknown'],RansomHub
retaildata,retaildatallc.com,IT Services and IT Consulting,"Glen Allen, Virginia",United States,"The Pricing Intelligence Pioneer

Over a 30-year history as the pricing industry pioneer and leader, we have honed a proprietary and proven process for collecting and delivering the highest quality of accurate, timely, and actionable data.

We fuel retailer strategy and systems with timely and accurate data and unparalleled pricing expertise. With a customized approach to data collection and a robust process for delivering and reporting normalized data, our service offering informs decision-making and on-target strategy to win consumers and maximize business impact.

TO VIEW JOB OPENINGS AND APPLY TO RETAIL DATA, PLEASE VISIT OUR CAREERS WEBSITE: RETAILDATALLC.COM/CAREERS","1,001-5,000 employees",2024-08-02 16:25:00,16510.0,1Tb,"['Customer and Client Data', 'Employee and HR Data']",RansomHub
nydj apparel,nydj.com,Retail Apparel and Fashion,"Los Angeles, California",United States,"At NYDJ, we believe in the transformative power of fit, and we know that a great denim day has the ability to make you feel like the best version of yourself. Our comfortable, stylish, perfectly-fitting jeans are the reason why women Äì of all ages, shapes, and sizes Äì reach for their NYDJs time and again.

Founded in Los Angeles in 2003, NYDJ pioneered the slimming denim category by introducing a revolutionary jean that was both comfortable and figure-flattering, thus igniting a cult following among women worldwide. NYDJ premium denim and pants feature the brandÄôs signature Lift Tuck¬Æ Slimming Technology, which sculpts a smooth, flattering silhouette to make women look and feel a full size smaller. Not only an authority in denim (NYDJ is the number-one womenÄôs denim brand at department stores in the United States*), NYDJ now offers dress trousers and trend-right sportswear, all with NYDJÄôs signature fit, comfort, and style. NYDJ is available through better department stores and boutiques in 31 countries worldwide, as well as NYDJ.com. 

*Source: NPD GroupÄôs Consumer Tracking Survey, year end 2016",201-500 employees,2024-07-31 16:56:00,16883.0,411gb,['unknown'],RansomHub
wgma,wgma.org,Maritime Transportation,"Houston, Texas",United States,"WGMA (West Gulf Maritime Association) is a Texas nonprofit corporation, was organized in early 1968 to succeed the former local maritime associations in Houston, Galveston and Brownsville, Texas and to embrace within the membership of one Association the steamship owners, operators, agents along with stevedoring and/or terminal companies located in all Texas ports and the Port of Lake Charles, Louisiana. Acting through its committees appointed from the membership, the Association negotiates and administers various labor agreements with the International Longshoremen's Association in West Gulf ports. The Association provides a forum for discussions and exchanges of information between the member companies concerning a wide variety of industry challenges of mutual interest and concern.",11-50 employees,2024-07-31 16:43:00,15179.0,109gb,['unknown'],RansomHub
mineduc - ministerio de educaci??n - guatemala,labor-koblenz.de,,,,MINEDUC - Ministerio de Educaci??n - Guatemala is a company based out of Guatemala.,,2024-07-29 15:23:00,17871.0,304gb,['unknown'],RansomHub
castelli group,www.castelligroup.com,Dairy Product Manufacturing,Reggio Emilia,Italia,"Castelli Group was founded in 1892 and is based in Reggio Emilia, controlled by Lactalis Group.
Its trademark stands for experience and history. Today, Castelli is the leading maker and distributor of ItalyÄôs famous PDO and Typical Italian Cheeses. 

Castelli Group head office controls a network of subsidiaries in France, United Kingdom, Germany and Scandinavia. The Group has cheese manufacturing, maturing and packaging plants in Italy, Hungary and Poland.

The Group employs more than 1000 people in approximately twenty plants located in Italy and abroad.

Castelli Group range of cheese products are unique and represent the highest quality in the Italian cheese-dairy industry.

The companyÄôs outstanding products are: Parmigiano Reggiano DOP, Grana Padano DOP, Gorgonzola DOP, Taleggio DOP, Mozzarella di Bufala Campana DOP, Pecorino Toscano DOP and Mozzarella STG
Castelli GroupÄôs ongoing quest for excellence has been strengthened and certified by the DOP mark, making it one of the most reliable producers in terms of quality.
The company's brands are: Castelli, Di Vittorio, Alival, Mandara and Fattorie del Sole.
The companyÄôs philosophy is to aim for ever higher standards of quality, can guarantee a wide range of DOP cheeses that have deep roots in the areas where their wholesome raw materials are processed into fine cheeses.

Castelli Group products are sold both under its own brand and its clientsÄô private labels which is evidence of the strong reputation for reliability that the group has attained among major distribution chains in Italy and abroad. Castelli Group has always devoted special attention to the foreign markets.","1,001-5,000 employees",2024-07-26 20:44:00,19349.0,300 GB,"['Customer and Client Data', 'PII', 'Legal Documents']",RansomHub
alabama plate cutting co,ach.co.th,Mining,"Saginaw, Alabama",United States,"Alabama Plate Cutting Company offers a wide variety or steel plate processing and steel plate cutting services to Alabama, Tennessee, Georgia, Mississippi, and Florida.",11-50 employees,2024-07-23 16:33:00,18890.0,5GB,"['Intellectual Property', 'Legal Documents', 'Databases', 'Financial Data']",RansomHub
cmi,cminsulation.com,Construction,"Englewood, Colorado",United States,"For the past two decades, CMI has provided top quality services in mechanical insulation and firestopping to government entities, public institutions, and privately held companies nationwide. CMI is a proud member or the UL Firestop Qualified Contractors Program.",51-200 employees,2024-07-25 17:10:00,18867.0,10Gb,['Customer and Client Data'],RansomHub
byzan systems pvt ltd,www.byzan.com,Software Development,"Andheri (E), Mumbai, Maharashtra",India,"Byzan Systems is a 15+ year old, steadily growing IT Solutions Company. The company's objective is to provide cost effective and quality solutions. Byzan has strong credentials in the Financial Services Industry where its clients include 20+ major global financial services firms. We have a strong track record of providing solutions and services since our inception and a strong Applications Development, Management, Testing and Infrastructure Services capability. Byzan has it's office in Mumbai and has support centres in 6 other Indian cities.

Byzan is focused on accelerating the adoption of consumer led innovation for enterprises - to take advantage of new revenue sources and improve operational efficiency. Enterprise Mobility and the New Web are at the core of this new innovation.

Byzan has built platforms that enable rapid adoption of these new technologies for enterprises and provide specific business solutions. The firm has a robust Smart Integration Model that has been built and tested over many years with multiple clients. Byzan's Enterprise Mobility Team works with clients across the lifecycle of the overall initiative Äì from incubation and strategy to management and testing.",201-500 employees,2024-07-20 12:57:00,21854.0,120gb,['Financial Data'],RansomHub
pt garudafood putra putri jaya tbk,www.garudafood.com,Manufacturing,"Jakarta, DKI Jakarta",Indonesia,"PT Garudafood Putra Putri Jaya Tbk is one of the largest food and beverage companies in Indonesia. Established in 1990, the founder of Garudafood has started its business activities since 1979 through PT Tudung Putra Jaya (TPJ), a company based in Pati, Central Java, which markets peanut products which later became Kacang Garuda (Garuda Peanut). Garudafood produces and markets food and beverage products under six leading brands, namely Garuda, Gery, Chocolatos, Clevo, Prochiz, and TopChiz. The products include biscuits, nuts, pilus, pellet snack, confectionery, milk drinks, cocoa powder, cheese, and dressing salad. Garudafood exports its products to more than 20 countries, focusing on ASEAN countries, Tiongkok and India.","10,001+ employees",2024-07-20 18:47:00,21132.0,10G,"['PII', 'Employee and HR Data']",RansomHub
whittaker co,www.kumagaigumi.co.jp,Facilities Services,"New Castle, PA",United States,"Consistently Cleaner Carpet. Smart Service.Ñ¢ Whittaker is committed to ensuring carpet adds beauty to each facility as its designer, manufacturer and installer intended. Our low-moisture carpet cleaning machines Äì including our exclusive three-TRIO Äì makes carpet care as simple as possible.",11-50 employees,2024-07-19 23:04:00,21476.0,5TB,"['Customer and Client Data', 'PII', 'Legal Documents']",RansomHub
glow,www.glowfm.nl,Entertainment Providers,"Seattle, WA",United States,"GlowÄôs mission is to help podcast creators thrive by providing them the tools to establish direct relationships with their customers.  We enable audio creators to become audio entrepreneurs, so they can make a living doing what they love.

Podcasting is the fastest growing medium in the world.  There are 700,000 podcasts today, as it is easier than ever to create a podcast.  32% of Americans listen to a podcast every month, and active weekly listeners listen to 7 podcasts per week.

Yet many podcasters lack a way to create a direct relationship with their listeners.  They want solutions to offer premium content and take data-driven approaches to growing their podcasts.  GlowÄôs first product is the simplest solution for podcasters to allow their listeners to support them. A listener can subscribe to a premium podcast in under 15 seconds, right from the podcast player of their choice.  With a direct relationship, podcasters will be able to use GlowÄôs tools to grow their content, audience, and revenues.

Glow is a spinout of Pioneer Square Labs, a startup studio based in Seattle.",2-10 employees,2024-07-16 13:43:00,21881.0,20GB,"['Intellectual Property', 'Databases', 'Financial Data']",RansomHub
publicis global delivery (pgd),pgd.pl,"Technology, Information and Media",,,"Publicis Global Delivery (PGD); Publicis GroupeÄôs industry leading globally connected capability platform. Where talent, technology & operations combine to delivery amazing solutions for our clients. Expertise across Media, Data, Technology, Commerce & Production in all regions of the world.
 
PGD is comprised of the best talent, and ways-of-working, which enables global scale, innovation and transformation, each day.
 
Culture, growth and wellbeing underline all aspects of Publicis Global Delivery.
 
#WeArePGD","5,001-10,000 employees",2024-07-18 11:15:00,22131.0,960gb,['unknown'],RansomHub
ceopag,ceopag.com.br / ceofood.com.br,IT Services and IT Consulting,"S?£o Jos?© do Rio Preto, SP",Brasil,"A Ceopag est?° presente em 20 Estados e 300 cidades e chega com produtos exclusivos, franqueados especializados, em um mercado crescente e inovador para facilitar e potencializar o faturamento do seu neg??cio.",201-500 employees,2024-07-16 01:54:00,21459.0,200GB,"['Intellectual Property', 'Customer and Client Data', 'Databases', 'Financial Data']",RansomHub
cameron hodges,www.cameronhodges.com,,,,,,2024-07-16 12:32:00,22667.0,100Gb,"['Customer and Client Data', 'PII', 'Employee and HR Data']",RansomHub
bench international,www.benchinternational.com,Executive Search Services,"La Jolla, CA",United States,"Bench International is the longest serving woman-founded executive search firm serving the Life Science and Healthcare sectors. The firm is also one of the most renowned experts in diversity recruitment at the board and executive level, as well as in R&D leadership. BenchÄôs scorecard reflects over $150 billion in successful client exits, a 98% project completion record, with a 75% retention for five or more years. 33% of all leaders placed in BenchÄôs 45+ year history have been gender and ethnically diverse. With headquarters in San Diego, California, and satellite offices in Los Angeles, San Francisco, New York, Boston, the United Kingdom and Switzerland Bench is One Global Team, No Borders, No Boundaries and One Global Budget, thus mitigating internally competitive offices. ",11-50 employees,2024-07-16 12:27:00,22642.0,50Gb,['Customer and Client Data'],RansomHub
mineduc - ministerio de educaci??n - guatemala,www.zepter.de,,,,MINEDUC - Ministerio de Educaci??n - Guatemala is a company based out of Guatemala.,,2024-07-02 19:04:00,24720.0,500+GB,"['Customer and Client Data', 'PII', 'Legal Documents']",RansomHub
mineduc - ministerio de educaci??n - guatemala,www.eurostrand.de,,,,MINEDUC - Ministerio de Educaci??n - Guatemala is a company based out of Guatemala.,,2024-07-11 16:06:00,25528.0,10 Gb,['Employee and HR Data'],RansomHub
netavent,www.netavent.dk,"Appliances, Electrical, and Electronics Manufacturing","Herlev, Hovedstaden",Danmark,"Netavent udvikler ventilations-l??sninger med fokus p? effektivitet og den enkelte kundes behov.

Netavent har over 30 ?rs erfaring med opbygningen af individuelle komfort- og milj??anl?¶g.

Vi adskiller os i branchen ved evnen til at s?¶tte mennesket i centrum og l??se opgaver, som kr?¶ver lidt ekstra.

Gennem ?rene har vi leveret l??sninger til en bred vifte af brancher i ind- og udland.

Netavent's hovedkontor ligger i Herlev og vores svenske s??sterselskab, Klimatbyr?n AB har hovedkontor i Malm??.",11-50 employees,2024-07-11 15:54:00,25107.0,10Gb,['Legal Documents'],RansomHub
