Company Name,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
Glow,"Glow’s mission is to help podcast creators thrive by providing them the tools to establish direct relationships with their customers.  We enable audio creators to become audio entrepreneurs, so they can make a living doing what they love.

Podcasting is the fastest growing medium in the world.  There are 700,000 podcasts today, as it is easier than ever to create a podcast.  32% of Americans listen to a podcast every month, and active weekly listeners listen to 7 podcasts per week.

Yet many podcasters lack a way to create a direct relationship with their listeners.  They want solutions to offer premium content and take data-driven approaches to growing their podcasts.  Glow’s first product is the simplest solution for podcasters to allow their listeners to support them. A listener can subscribe to a premium podcast in under 15 seconds, right from the podcast player of their choice.  With a direct relationship, podcasters will be able to use Glow’s tools to grow their content, audience, and revenues.

Glow is a spinout of Pioneer Square Labs, a startup studio based in Seattle.","Seattle, WA",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eglow%2Efm%2F&urlhash=ZepH&trk=about_website,Entertainment Providers,2-10 employees,null,Privately Held,467
The City of Newcastle,"Incorporated in 1994, Newcastle is a relatively new city with a storied past. Before Washington became a state, Newcastle was one of the most successful coal mining towns in northwestern Washington. Nearly 11 million tons of coal was extracted from the area between 1869 and 1963. Coal from Newcastle helped fuel the growth of the entire Puget Sound region.

Thirty years after the end of the coal mining era, a movement began toward local government and control. In April 1993, proponents succeeded in passing a ballot measure to establish 4.4 square miles of unincorporated King County into the City of Newport Hills. The city officially incorporated Sept. 30, 1994, as Newport Hills, and after a November 1994 vote, the city's name was changed to Newcastle.","Newcastle, Washington",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fnewcastlewa%2Egov%2F&urlhash=Z6jh&trk=about_website,Government Administration,11-50 employees,null,Government Agency,463
Metalfrio Solutions,"A Metalfrio Solutions (FRIO3) é a maior fabricante de refrigeração comercial do tipo plug-in na América Latina e uma das líderes globais no segmento. Com mais de 60 anos de operação, possuí 5 unidades industriais estrategicamente localizadas (Brasil, México, Rússia e Turquia), estando presente em praticamente todos os continentes,. 

Atualmente, é uma das empresas mais internacionalizadas do Brasil e top of mind de refrigeração comercial no país, produzindo equipamentos com a mais avançada tecnologia e contando com uma estrutura de distribuição global em mais de 80 países. 
=========================================================================

Metalfrio Solutions (FRIO3) is the biggest manufacturer of plug-in-type commercial refrigeration in Latin America and one of its world leaders. With more than 60 years on the market, Metalfrio has its presence practically in all five continents, having 5 strategically located industrial units (Brazil, Mexico, Russia and Turkey).

Nowadays, Metalfrio is one of the most globally active company in Brazil and the country’s top of mind brand among commercial refrigeration due to its cutting-edge technology and international distribution for over 80 different countries. ","São Paulo, SP",Brasil,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emetalfrio%2Ecom%2Ebr&urlhash=9h_a&trk=about_website,"Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees","Commercial Refrigeration, Coolers & Freezers, Services, and ICM (Ice Cold Merchandising)",Public Company,"88,576"
ERMA-RTMO S.p.A.,"A Modena, gloriosa terra di motori e cuore pulsante dell'industria metalmeccanica italiana, si colloca ERMA, azienda leader da più di mezzo secolo nel mercato dei ricambi per macchine movimento terra.
L'azienda vanta la più lunga esperienza nel settore, garantisce la miglior qualità di prodotti, ed il miglior servizio al cliente.
Partner dei più grandi costruttori al mondo di sistemi di cingolature.
Berco maggior produttore mondiale di cingolature in ferro.
Bridgestone maggior produttore mondiale di catene in gomma.
ERMA è anche costruttore, in collaborazione con piccoli partner asiatici, di componenti con marchio proprio ""ET - ERMA Track"", specifici fino ad un range medio di macchine movimento terra.
ERMA non è solo un partner commerciale, è una concezione di lavoro che non si limita solo ad offrire parti di ricambio, ma soluzioni alle esigenze della clientela, mirate alla efficienza ed alla ottimizzazione delle prestazioni dei macchinari.
ERMA sceglie e offre le migliori soluzioni al business di tutti.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eerma-group%2Ecom%2F&urlhash=-ZmV&trk=about_website,Machinery Manufacturing,51-200 employees,UNDERCARRIAGE PARTS FOR EARTHMOVING MACHINES,Public Company,null
Publicis Global Delivery (PGD),"Publicis Global Delivery (PGD); Publicis Groupe’s industry leading globally connected capability platform. Where talent, technology & operations combine to delivery amazing solutions for our clients. Expertise across Media, Data, Technology, Commerce & Production in all regions of the world.
 
PGD is comprised of the best talent, and ways-of-working, which enables global scale, innovation and transformation, each day.
 
Culture, growth and wellbeing underline all aspects of Publicis Global Delivery.
 
#WeArePGD",null,null,null,"Technology, Information and Media","5,001-10,000 employees","Data, Technology, Production, Creative, Media, HR, Publicity, Marketing, and Commerce",Public Company,null
HLB Puerto Rico LLC,"HLB Puerto Rico is a member of HLB International; a world-wide network with over 400 independent accounting firms and business advisors. An taxes, accounting and consulting ﬁrm HLB Puerto Rico combines experience with boutique customer service to deliver ﬁnancial solutions that your business needs.  Our HLB Global membership provides HLB Puerto Rico with the permanent international contact that a globalized economy demands, while providing deep expertise upon local issues. 

 Our firm's unique proposition combines the extended experience of CPA Luis Lomba with that of our young group of CPA’s professionals.  Together, we are ready to proactively taggle any issue in today's business environments.  HLB Puerto Rico has the experts you can trust to focus on your accounting needs, allowing you the time you need to focus on growing your business.

We invite you to meet our partners, associates, managers and seniors who will be servicing your account. From SME to multinational, you can count on our multidisciplinary team of specialists.","San Juan, PR",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehlbpr%2Ecom&urlhash=FlrH&trk=about_website,Accounting,11-50 employees,null,Partnership,431
Ceopag,"A Ceopag está presente em 20 Estados e 300 cidades e chega com produtos exclusivos, franqueados especializados, em um mercado crescente e inovador para facilitar e potencializar o faturamento do seu negócio.","São José do Rio Preto, SP",Brasil,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eceopag%2Ecom%2Ebr&urlhash=rnnO&trk=about_website,IT Services and IT Consulting,201-500 employees,"Métodos de Pagamento, Maquininha de Cartão, Cartão de Crédito, App de Pagamento, Franquia, Franchising, Fintech, and Franquia ABF",Privately Held,"1,298"
Cameron Hodges,null,null,null,null,null,null,null,null,621
Bench International,"Bench International is the longest serving woman-founded executive search firm serving the Life Science and Healthcare sectors. The firm is also one of the most renowned experts in diversity recruitment at the board and executive level, as well as in R&D leadership. Bench’s scorecard reflects over $150 billion in successful client exits, a 98% project completion record, with a 75% retention for five or more years. 33% of all leaders placed in Bench’s 45+ year history have been gender and ethnically diverse. With headquarters in San Diego, California, and satellite offices in Los Angeles, San Francisco, New York, Boston, the United Kingdom and Switzerland Bench is One Global Team, No Borders, No Boundaries and One Global Budget, thus mitigating internally competitive offices. ","La Jolla, CA",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebenchinternational%2Ecom&urlhash=dJ1N&trk=about_website,Executive Search Services,11-50 employees,"Retained Executive Search, Candidate Placement, Board Advisory, Life Sciences, Biotech, Biopharma, Certified by the Women’s Business, global retained search firm, executive recruitment for the Life Sciences,, pharmaceutical executive recruitment, milestone accountable approach in executive recruiting, woman-pioneered company, Over 1/3 hires in last 30+ years meet diversity standard, and exclusively serves the pharmaceutical, Life Science platform technologies, Biotechnology, devices, diagnostics, Bio-pharma and drug/device combinations",Privately Held,"3,835"
Zepter International,null,null,null,null,Manufacturing,"10,001+ employees",null,Privately Held,null
RITE AID,"Rite Aid is a full-service pharmacy committed to improving health outcomes. 

Rite Aid is defining the modern pharmacy by meeting customer needs with a wide range of solutions that offer convenience, including retail and delivery pharmacy, as well as services offered through our wholly owned subsidiary Bartell Drugs. Regional chain Bartell Drugs has supported the health and wellness needs in the Seattle area for more than 130 years. 

For more information, visit www.riteaid.com.  ","Philadelphia, Pennsylvania",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eriteaid%2Ecom%2Fcareers&urlhash=8yJy&trk=about_website,Retail,"10,001+ employees","Retail Pharmacy, Telehealth, Pharmacy Benefit Management, and Health Management",Public Company,"117,149"
Erlebnisland Eurostrand GmbH & Co. KG,"Eurostrand is offering it all. All-inclusive club holiday with premium beverages and meals, activities, entertainment and excursions. Have yourself a Party Time weekend with your soccer club or the ladies. If you need a more relaxed but still active week away - then our ""My Holiday"" program is for you. 

Looking for a venue for your next Christmas party, conference or team building? Eurostrand offers you an almost endless variety of event options. Our event team will handle every detail of planning and realization, beginning with travel arrangements including rooms, organizing coffee-breaks and evening entertainment. There are no restrictions to your imagination and space for everyone. 
 With our all-inclusive packages you get excellent value for money.","Fintel, Lower Saxony",Deutschland,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Feurostrand%2Ede&urlhash=0tiK&trk=about_website,Hospitality,201-500 employees,null,Privately Held,259
LYNCH ALUMINUM MANUFACTURING CO.,null,"PEORIA, Illinois",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Flynchaluminum%2Enet&urlhash=OYSr&trk=about_website,null,11-50 employees,null,null,11
Netavent,"Netavent udvikler ventilations-løsninger med fokus på effektivitet og den enkelte kundes behov.

Netavent har over 30 års erfaring med opbygningen af individuelle komfort- og miljøanlæg.

Vi adskiller os i branchen ved evnen til at sætte mennesket i centrum og løse opgaver, som kræver lidt ekstra.

Gennem årene har vi leveret løsninger til en bred vifte af brancher i ind- og udland.

Netavent's hovedkontor ligger i Herlev og vores svenske søsterselskab, Klimatbyrån AB har hovedkontor i Malmø.","Herlev, Hovedstaden",Danmark,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Enetavent%2Edk&urlhash=7Vo5&trk=about_website,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,null,Public Company,207
BFC Solutions,"BFC Solutions is the largest self-performing preventative maintenance provider in the U.S. We develop planned preventative maintenance programs to identify problems before they become costly repairs. 

Through our best-in-class patented filter system, coil cleaning, comprehensive site inspections, and other value-added services, we help keep your facilities and HVAC systems operating efficiently to reduce costs and achieve sustainability goals. 

With 60 years of experience and 1,000 employees across the country, BFC Solutions is the trusted leader in facilities maintenance for many of the top Fortune 500 companies in industries such as retail, restaurant, convenience store, grocery, financial, entertainment, healthcare, and more. ","Nashville, TN",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ebfcsolutions%2Ecom%2F&urlhash=jrkQ&trk=about_website,Facilities Services,"501-1,000 employees","Air Filter Service Company, Air Filter Manufacturer, HVAC Coil Cleaning, Nationwide, Self-Performing, PM Program, HVAC Contracting, Air Filter Preventive Maintenance, Facilities & Management, Evaporator Coils, Case Cleaning, Belt Management, Rooftop Inspections, Asset Tagging, and Condensate Line Maintenance",Privately Held,"2,632"
Aedifica NV/SA,"Aedifica is a Belgian listed company that is specialised in offering innovative and sustainable real estate concepts to care operators and their residents across Europe, focusing in particular on housing for elderly people with care needs.

Social sustainability is a fundamental driving force for us: we want to create added value for society at large by developing innovative real estate concepts that are tailored to the needs of residents and that improve their quality of life. We don’t just invest in properties, we invest in society.

We aim to offer our shareholders a reliable real estate investment with an attractive return based on the successful strategy we developed throughout the past 17 years: combining a high-quality diverse portfolio that generates recurring and indexed rental income with industry leading long-term partners and an experienced team.

Aedifica is listed on Euronext Brussels (2006) and Euronext Amsterdam (2019). Since March 2020, Aedifica is part of the BEL20, the leading share index of Euronext Brussels. The Group has developed a portfolio of more than 610 properties in Belgium, Germany, the Netherlands, the United Kingdom, Finland, Sweden, Ireland and Spain, worth more than €5.8 billion.","Brussel, Brussels Hoofdstedelijk Gewest",België / Belgique / Belgien,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Faedifica%2Eeu%2F&urlhash=k3Hs&trk=about_website,Real Estate,51-200 employees,"Senior housing, Health care, Real estate, and REIT",Public Company,"7,069"
Baim Institute for Clinical Research,,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebaiminstitute%2Eorg&urlhash=5ukf&trk=about_website,,,null,,"15,237"
SWCS INC,null,"LAKESIDE, California",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fswcs-inc%2Ecom&urlhash=YghX&trk=about_website,null,2-10 employees,null,null,6
Mellitah Oil and Gas B.V,"Mellitah Oil & Gas
Mellitah Oil & Gas B.V Libyan Branch was established by General Peoples Committee Resolution No. 253 for the year 2008 issued on 21/04/2008 in accordance to an agreement concluded between the National Oil Corp. and Eni North Africa on 16/10/2007. This Agreement stipulates on amalgamation of the assets and activities of both Eni Oil and Mellitah Gas, to start effective as of 01/01/2008.

 

The NOC also signed on 30/10/2008, an Agreement of Shareholders upon which Mellitah Oil & Gas is assigned to manage and operate the Oil Operations of the Concessions signed on 12/06/2008.

 

This Agreement included six agreements of EPSA 4. Thus, Mellitah Oil & Gas ranks as the biggest oil Company in Libya by producing 600,000 equivalent oil barrel/day )Crude Oil, Natural Gas, Condensed Gas: Propane, Butane and Nafta( in addition to a daily production of 450 tons of Sulphur.

 

The Company manages several onshore fields spread across the country.  It also manages offshore fields consist of three platforms and a floating tank. Moreover, it manages a network of onshore pipe lines of various sizes extended for thousands of kilometers. The company is exporting part of the processed natural gas from Mellitah Industrial  Complex through an offshore pipe line )of 32 inches / 516 km( connecting Mellitah Industrial Complex to the southern coast of Italy, and managed by the Green Stream.  This offshore export Line is considered to be the first link between Libya and Europe.

 

Mellitah Oil & Gas is also participating in covering a great deal of the needs of the natural Gas local consumption which feeds Generating power stations.","Tripoli, Tripoli",ليبيا,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fmellitahog%2Ely%2Fen%2F%23&urlhash=LeDy&trk=about_website,Oil and Gas,"5,001-10,000 employees",null,Partnership,"10,909"
Daesang America Inc," Since 1956, Daesang has been one of the pioneers in paving the way for Korean cuisine. As one of the largest South Korean food companies, as well as a global leader in fermentation, we produce a wide variety of traditional and authentic products such as Gochujang, Kimchi and Gochugaru.","City of Industry, California",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fofoodusa%2Ecom%2F&urlhash=SSJ5&trk=about_website,Food Production,201-500 employees,null,Privately Held,"1,046"
Robert Hauptmann,null,null,null,null,null,null,null,null,992
Fineco Bank,"FinecoBank is one of the most important FinTech banks in Europe. 
Listed on the FTSE MIB, Fineco offers an unique business model in Europe, combining advanced platforms with a large network of financial advisors. 

It offers a single account with banking, trading and investment services, through transactional and advisory platforms developed with proprietary technologies. 
Fineco is a leading bank in brokerage in Europe, and one of the most important players in Private Banking in Italy, offering advanced and tailor-made advisory services. 
Fineco is one of the major advisory network in Italy, with 2,900 financial advisors, more than 1.5 million customers and around € 110 billion of total financial assets. 

Since 2017, FinecoBank is in the UK with an offer focused on brokerage, banking and investment services. Fineco Asset Management was founded in Dublin in 2018, with the mission to develop investment solutions in partnership with top international asset managers.","Milano, Italy",Italia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Ffinecobank%2Ecom&urlhash=qJWA&trk=about_website,Financial Services,"1,001-5,000 employees","Investments, Trading, Banking, Financial Services, consulenza finanziaria, private banking, and Advisory",Public Company,"119,991"
SF Medical,"SF Medical Products GmbH® is an international manufacturer of inexpensive yet high-quality medical products for use by medical professionals. Our products are manufactured in modern production facilities according to the strictest quality and safety standards and are delivered daily to our customers all over the world. In view of the increasing market requirements for medical consumables, we are constantly developing new products and services in order to remain at the cutting edge of technology and to meet and even exceed our customers' expectations. The processes of our daily business are a healthy mix of speed in processing large order quantities and personal support by our highly motivated professional team. We strive for effectiveness on the one hand and comfort and safety for patients and medical staff on the other.","Berlin, Berlin",Deutschland,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Esfmedical%2Ede&urlhash=KYZw&trk=about_website,Medical Equipment Manufacturing,11-50 employees,null,Privately Held,153
NTT DATA Romania,"NTT DATA, Inc. is a trusted global innovator of business and technology services. We're committed to helping clients innovate, optimize and transform for long-term success. Our R&D investments help organizations and society move confidently and sustainably into the digital future. As a Global Top Employer, we have diverse experts in more than 50 countries and a robust partner ecosystem of established and start-up companies. Our services include business and technology consulting, data and artificial intelligence, industry solutions, as well as the development, implementation and management of applications, infrastructure, and connectivity.","Cluj-Napoca, Cluj",România,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fro%2Enttdata%2Ecom%2F&urlhash=BNM5&trk=about_website,IT Services and IT Consulting,"1,001-5,000 employees","Software Development and Services, Software Engineering, Application Management and Support, Embedded Services, SAP Services, SAP Rollouts, IT Partner, Integrated Solutions, Workforce Management and Payroll, Client Management, Business Mobile, and Business Intelligence",Public Company,"47,345"
Florida Health,"Our Mission: 
To protect, promote & improve the health of all people in Florida through integrated state, county, & community efforts.

Our Vision: 
To be the Healthiest State in the Nation.

Our Values: (ICARE)
Innovation: We search for creative solutions and manage resources wisely.
Collaboration: We use teamwork to achieve common goals & solve problems.
Accountability: We perform with integrity & respect.
Responsiveness: We achieve our mission by serving our customers & engaging our partners.
Excellence: We promote quality outcomes through learning & continuous performance improvement.

To find Florida Health's official social media channels, please visit the following link: https://www.floridahealth.gov/about/social-media.html#verified","Tallahassee, FL",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eflhealth%2Egov&urlhash=wVIY&trk=about_website,Government Administration,"10,001+ employees",null,Government Agency,"17,440"
Spandex,"Spandex is one of the world’s leading suppliers of signage and digital materials, sign systems, displays, tools and equipment to the sign making, graphics, wrapping, textiles and architectural markets.
Since 1976, it’s been our business to provide complete solutions for businesses that produce signs and displays, digital prints, speciality graphics, vehicle wraps and many other forms of visual communication. With offices in 20 countries* and a broad product portfolio from industry leading brands, we offer our customers outstanding service, delivered by a team of experts. 
Spandex serves over 40,000 customers that rely on our broad range of solutions, professional advice and service.
For more information, please visit www.spandex.com

You will find our locations in:
Australia
Austria
Belgium
Czech Republic
Estonia
Finland
France
Germany
Italy
Lithuania
Norway
Portugal
Slovakia
Spain
Sweden
Switzerland
The Netherlands
Turkey
United Kingdom
United States

Find out full location details here: www.spandex.com/contact.html","Dietlikon, Zurich",Schweiz/Suisse/Svizzera/Svizra,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Espandex%2Ecom&urlhash=TzxS&trk=about_website,Media Production,"1,001-5,000 employees","Materials for sign making, digital printing and graphic production, Sign & Display Systems, Digital Printing Solutions, Accessories and Tools, Print Finishing Equipment, Vehicle Wrapping Material, Hardware, Print equipment, Architectural Films, and Textiles",Privately Held,"7,550"
null,null,null,null,null,null,null,null,null,null
TV EQUINOCIO COMUNICAÇÕES LTDA,Jornalismo na integra.,"MACAPÁ, AMAPÁ",Brasil,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fequinocioplay%2Ecom%2Ebr&urlhash=F40V&trk=about_website,Newspaper Publishing,11-50 employees,RADIO E TELEVISÃO,Privately Held,263
Sicoob,"O Sicoob é o maior sistema financeiro cooperativo do país, com mais de 8 milhões de cooperados e mais de 4,6 mil pontos de atendimento distribuídos em todo o Brasil. Somos uma cooperativa financeira que oferece aos cooperados serviços de conta corrente, crédito, investimento, cartões, previdência, consórcio, seguros, cobrança bancária, adquirência de meios eletrônicos de pagamento, entre outros. Ou seja, temos um portfólio completo para atender o nosso público. Somos reconhecidos como a terceira melhor instituição financeira do Brasil segundo o ranking “Melhores Bancos do Mundo 2024”, realizado pela Forbes em parceria com a empresa de estudos de mercado Statista.

Para oferecer esse atendimento, não abrimos mão do nosso propósito de conectar pessoas para promover justiça financeira e prosperidade. Acreditamos que, para promover uma nova economia, temos que ser uma instituição diferente, é por isso que aqui cada colaborador e cooperado tem voz ativa para crescermos juntos! 

Deseja falar com a gente? Confira nossos números para contato:

Central de Atendimento:

Capitais e regiões metropolitanas: 4000 1111*

Demais localidades: 0800 642 0000

*Caso a localidade não possua o serviço 4000 ou 4007, informe o número da operadora mais o DDD 61: (0xx61 4000 1111).

Para informações, dúvidas, reclamações e comunicação de ocorrência de fraude, ligue para o nosso SAC 24 horas: 0800 724 4420

Deseja falar com a Ouvidoria? 

Para reclamações, elogios e sugestões: 0800 725 0996 (de segunda a sexta, das 8h às 20h)

Deficientes auditivos ou de fala: 0800 940 0458 (de segunda a sexta, das 8h às 20h)","Brasília, DF",Brasil,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Esicoob%2Ecom%2Ebr%2F&urlhash=7O_h&trk=about_website,Financial Services,"10,001+ employees","Instituição Financeira Cooperativa, Produtos e Serviços Financeiros, and Cooperativa financeira",Privately Held,"1,830,233"
CIPL - Corporate Infotech Pvt Ltd,"Corporate Infotech Pvt. Ltd. was incorporated in the year 2007 by Mr. Vinod Kumar,  the Managing Director & CEO, with a strong ideology of fair, honest & ethical business practices.

A company that is into the business of Information Technology, which gets driven with the passion, the tool, the infrastructure and the vision.

To provide “one stop technology destination” for customers across all verticals.
To help customers achieve their objectives by providing innovative, best-in-class consulting. IT solutions and services in the most effective & profitable manner.
CIPL has been able to achieve the coveted position as one of the largest solution provider and the fastest growing company in India by creating a strong portfolio of products & services.

Committed to continuous improvement and closing the capability gap, CIPL has been appraised at level 5 of the CMMI Institute’s Capability Maturity Model Integration.","Noida, Uttar Pradesh",India,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fcipl%2Eorg%2Ein%2F&urlhash=5eEh&trk=about_website,IT Services and IT Consulting,"1,001-5,000 employees","IT hardware & software solutions, IT Infrastructure Consulting, Facility Management Services, IT Security, Cloud Services, Internet of things, Data Centre Management, Digital Solutions, Software Services, and System Integration",Privately Held,"13,968"
DANIELLE GROUP PLC,"Specialises in design, contract manufacture and supply of imported clothing. With separate departments dedicated to clothing, footwear, corporatewear, handbags and accessories. Manufatures in the Far East, Regional offices in China, India, Bangladesh and Veitnam.",Manchester,United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Edaniellegroup%2Ecom&urlhash=Ss-j&trk=about_website,Legal Services,2-10 employees,null,null,null
Coca-Cola Pinya Beverages Myanmar,"Coca-Cola Pinya Beverages Myanmar (CCPBM), established in 2013, is a 100% owned subsidiary of the Bottling Investments Group (BIG) which is a 100% owned subsidiary of The Coca-Cola Company (TCCC). Keeping our purpose “Refreshing Myanmar and Making a Difference” as the guiding star of our existence in Myanmar, we are committed to refreshing the people of Myanmar with our quality products, and making positive differences within the organization as well as for its stakeholders, consumers and the communities that we serve.
 
Our head office is located in Hlaing Thar Yar Industrial Zone, and we have two bottling plants in Hmawbi and Hlaing Thar Yar townships. CCPBM employs 1000+ employees and we are proud to say that 99% of them are Myanmar nationals with different backgrounds. Our product portfolio is as diverse as our workforce in Myanmar: from low-to-no sugar sparkling drinks, value-added dairy beverages, energy drinks, juices and water, in different packaging sizes and designs to meet the different needs of Myanmar people. 
 
Our growth culture is embedded in the way we think, work and interact within the organization and beyond, and we believe that people are the best part of our formula for success and sustainable growth. CCPBM has recently been certified as “Great Place to WorkTM” reflecting an enabling and empowering environment where people are at the front and center of everything we do.","Yangon, Yangon",မြန်မာ,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ecoca-colacompany%2Ecom%2F&urlhash=3vkM&trk=about_website,Food and Beverage Services,"1,001-5,000 employees",null,Privately Held,"18,789"
null,null,null,null,null,null,null,null,null,null
Mangimi Fusco,"La Fusco Srl produce e commercializza linee complete di mangimi per tutti gli animali da reddito e da cortile. Offre prodotti e servizi per l'agricoltura. L’obiettivo è di essere un punto di riferimento per il settore agro-zootecnico offrendo prodotti certificati oltre che la garanzia del marchio Made in Italy. Diffondere l’eccellenza dei prodotti è la convinzione che l'ha guidata nella ricerca continua della più moderna alimentazione capace di rispondere alle esigenze del mercato.
La struttura del gruppo controlla direttamente tutte le fasi della filiera produttiva, avvalendosi di una rete di relazioni tra: fornitori selezionati, sito produttivo e clienti.
Forte di un bagaglio di competenze maturato nel corso di una lunga tradizione, oggi è tra le più importanti realtà di Terra di Lavoro. La leadership è sancita dalla costante assistenza al fianco degli operatori del settore, le collaborazioni con gli istituti universitari e l’assoluta flessibilità aziendale.
La crescita, costante e solida, consente investimenti in innovazione e sviluppo, confronti con molteplici mercati, e introduzione di nuovi prodotti. Una sfida continua, per continuare a scrivere una storia fatta di successi.","Bellona, Caserta",Italia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emangimifusco%2Eit&urlhash=JSp6&trk=about_website,Animal Feed Manufacturing,11-50 employees,null,Partnership,197
Harris Ranch Beef Company,"Since the 1930s, Harris Ranch has remained focused on producing the best tasting, most wholesome products for customers across the globe. Located in California’s Central Valley, Harris Ranch is well equipped to serve the needs of our retail, foodservice, ecommerce, and export customers. Our tradition of quality is evident—you can truly taste the difference with Harris Ranch.

The Harris family grew beyond their agricultural roots and, together with the visionary management team at Harris Ranch, built the sophisticated, state-of-the-art cattle feeding and beef processing companies now under the ownership of the Coelho family. Our diversified business has become the largest cattle feeder, beef processor, and beef marketer in California and one of the largest fully integrated beef producers in the Western United States.","Selma, California",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fharrisranchbeef%2Ecom&urlhash=f_k9&trk=about_website,Food and Beverage Manufacturing,"1,001-5,000 employees","High Quality Beef Products, Integrated Beef Production, Fresh Boxed Beef, Fresh Seasoned Beef, Fully Cooked Beef, Deli Meats, Value Added Ground Beef, Cattle Sourcing, Cattle Feeding & Cattle Processing, Sustainability, and Animal Welfare",Self-Owned,"4,913"
Bitz Softwares,"Sistemas para hotéis, pousadas, hostels, motéis, condominios e restaurantes. Tecnologia de pagamentos digitais integrados as nossas soluções.
Potencialize sua gestão com uma solução completa que trabalha offline e online no segmento de hospedagens. A Bitz Softwares é uma empresa focada no desenvolvimento de softwares e prestação de serviços no setor de hospedagens. 

Desde 2011, quando se inseriu no mercado, a Bitz inova em soluções tecnológicas, proporcionando crescimento e performance aos seus clientes. A ideia de inovar e a determinação está em nosso DNA.

#SEJABITZ","Pato Branco, Paraná",Brasil,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebitzsoftwares%2Ecom%2Ebr&urlhash=dalm&trk=about_website,Software Development,51-200 employees,"Software, Hotel, Pousada, Hostel, Motel, Automação, and Gestão",Privately Held,"3,408"
Multi-Wing,"At Multi-Wing, our mission is to shape the airflow of the future. We achieve this through our energy-saving and custom-designed airflow solutions. As a global partner with a local presence, we blend our aerodynamic expertise with cutting-edge research and development.

Our products, including fans and impellers, are designed to cool HVAC/R equipment, vehicle engines, electric drivetrains, and more. This results in maximum efficiency and reduced emissions.

We offer the market's broadest range of axial fan impellers through our modular system. These are tailor-made to meet your specific needs. We take the time to analyze your airflow requirements and design a solution that is just right for you.

Our axial fans and impellers are manufactured with precision in ISO 9001 certified facilities worldwide, ensuring fast and reliable delivery.

Our unwavering commitment to solving even the most complex airflow challenges has made us the preferred partner for some of the world's leading brands.

Multi-Wing stands at the forefront of airflow technology, committed to delivering innovative and efficient solutions that meet the demands of today and shape the future of airflow. We invite you to join us on this exciting journey.",Vedbæk,Danmark,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Emulti-wing%2Ecom&urlhash=LutS&trk=about_website,Manufacturing,"501-1,000 employees","Tailor made axial impellers, Engine cooling fans, Radiator fans, Ventilation fans, HVAC fans, Refrigeration fans, MX Flow fans, Axial fans, DC Fans, Fanpacks, Compact Axial Fans, Compact Impellers, ATEX Fans, and Fans for Construction Machinery",Privately Held,null
