Company Name,Company URL,Date Victimsed,Status,View Count,Photo Count,File Count,Data Size (GB),Ransom Blog Content,Financial Data,PII,Customer and Client Data,Employee and HR data,Legal Documents,Intellectual Property and Trade Secrets,Databases,Sensitive Communication,Healthcare Data,Utility and Infrastructure Data,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
MCSWEENEY / LANGEVIN,http://www.westrikeback.com/,"JUL 5, 2024",Up,3606,0,126291,274,McSweeney / Langevin is a national law firm. Our lawyers and staff have helped injured individuals seek justice against major insurance companies and corporations. Our team has recovered millions of dollars for thousands of injured clients.,Yes,No,No,No,Yes,No,No,Yes,No,No,"McSweeney / Langevin has one purpose - helping the injured.  We do this by making sure victims and victims' families are adequately compensated for wage loss, medical expenses and pain and suffering.

There is no need for victims to deal with the stress and anxiety alone.  We will be there every step of the way to ensure you are treated fairly, your rights are protected, and you are compensated.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2EWeStrikeBack%2Ecom&urlhash=rKxq&trk=about_website,Law Practice,11-50 employees,"Dangerous / Defective Drugs, Dangerous / Defective Medical Devices, Workers' Compensation, Premises Liability, Auto Accidents, Wrongful Death, Brain Injuries / Concussions, Broken Bones, Medical Malpractice, Motorcycle Accidents, and Truck / Semi-Trailer Accidents",Partnership,null
FIAB SPA,http://www.fiab.it/,"JUL 5, 2024",Up,3637,0,304232,118,"FIAB SpA is a company that operates in the Cosmetics industry. It employs 101-250 people and has $10M-$25M of revenue. The company is headquarteredin Vicchio, Tuscany, Italy",Yes,No,No,Yes,No,No,No,Yes,No,No,"FIAB is a medical device company that for over 40 years has been manufacturing products and solutions for cardiac pacing, electrophysiology, ecg, electrosurgery, oxygen-therapy, electro-therapy. FIAB is located in Vicchio, Firenze, Italy and distributed in over 100 countries.","Vicchio, Florence",Italia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Efiab%2Eit&urlhash=BFat&trk=about_website,Medical Equipment Manufacturing,201-500 employees,null,Privately Held,965
PFAM,http://precisionflange.com/,"JUL 5, 2024",Up,3530,0,196708,144,"Company dedicated to producing the highest quality product, at the best price.",No,No,No,No,No,No,No,No,No,No,"InterPro provides functional analysis of proteins by classifying them into families and predicting domains and important sites. To classify proteins in this way, InterPro uses predictive models, known as signatures, provided by several different databases that make up the InterPro consortium, this include Pfam. We combine protein signatures from these member databases into a single searchable resource, capitalising on their individual strengths to produce a powerful integrated database and diagnostic tool.

InterPro is is managed by EMBL’s European Bioinformatics Institute (EMBL-EBI)",Hinxton,United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eebi%2Eac%2Euk%2Finterpro&urlhash=5joq&trk=about_website,Research Services,2-10 employees,"protein, Bioinformatics, and protein classification",Nonprofit,null
LOGIMODAL OPERAÇÕES LOGÍSTICAS,http://www.logimodal.com.br/,"JUL 5, 2024",Up,3526,0,0,0,"We stole and encrypted 444 GB of confidential data (contracts, finance, invoices, human resources, operations and much more). Contact us via the chatroom or we will release the data to the public.",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes," LOGIBRAS, atuando há mais de 12 anos no mercado logístico de São Francisco do Sul/SC, em 2020 alterou sua razão social para LOGIMODAL OPERAÇÕES LOGÍSTICAS LTDA.

A alteração da denominação social, nome e logomarca vem consolidar a atuação da empresa em serviços logísticos complexos e diferenciados, com rigorosos procedimentos de armazenagem e manuseio de cargas de alta qualidade em seu terminal multimodal.","São Francisco do Sul , SC",Brasil,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Elogimodal%2Ecom%2Ebr&urlhash=9qE0&trk=about_website,Warehousing,51-200 employees,"Armazenagem , Fracionamento, and Qualidade",Partnership,1763
GOLDEN ACRE,http://www.goldenacre.ca/,"JUL 5, 2024",Up,3552,0,55128,63,"Golden Acre Garden Sentre. Calgary's garden centre since 1967 and still growing strong. With hundreds of thousands of square feet in retail space.Golden Acre carries a wide variety of Annuals, Perennials, Trees and Shrubs, Houseplants, Garden and Home Decor, as well as Outdoor Furniture and all that you need to create your garden oasis. We also provide Landscaping Services and Horticultural Expertise.",No,No,Yes,Yes,No,No,No,Yes,No,No,"At Golden Acre, we specialise in importing and distributing great food from around the world.

Operating across 15 countries, we boast a wide range of delicious European and World Foods which we supply to Major Multiples, Wholesalers and Foodservice customers in the UK & Ireland.

Established in 1999, we have grown every year and today we work with over 100 manufacturers supplying both branded and private label products across chilled, ambient and frozen categories.

• Dairy (Yogurts, Protein Shakes) 
• Continental (Meats, Cheese & Fish)
• World Foods (Polish, Romanian, American)
• Home Baking (Chilled Pastry & Dough)
• Free-From, Halal & Kosher

We support our customers with a host of services within NPD, Technical, Sales, Marketing and Supply-Chain to help build a sustainable presence in the UK. Providing professional insight on market data, consumer trends and the latest legislation.

Our diverse multi-talented team is drawn from a varied blue-chip background; and together we provide comprehensive sourcing, marketing and distribution expertise to our private label and branded customers.

In addition to our development work; we have a growing portfolio of our own brands, which includes Golden Acre Yogurt, Najma, Elsinore, Acti-Shake, Urban-Active and Enjoy!","Chertsey, Surrey",United Kingdom,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fgoldenacrefoods%2Ecom%2F&urlhash=88O6&trk=about_website,Food & Beverages,51-200 employees,null,Privately Held,1011
A-AGROUP,http://www.a-agroup.com/,"JUL 5, 2024",Up,3679,0,265684,685,"A&A Group is a company that operates in the Construction industry. It employs 21-50 people and has $10M-$25M of revenue. The company is headquartered in Fairfield, New Jersey",Yes,No,No,Yes,No,No,No,Yes,No,No,null,null,null,null,null,null,null,null,null
ST VINCENT DE PAUL CATHOLIC SCHOOL,http://www.svdpvikings.com/,"JUL 5, 2024",Up,3587,0,80697,104,"St Vincent de Paul Catholic School is a company that operates in the Education industry. It employs 21-50 people and has $1M-$5M of revenue. The co mpany is headquartered in Peoria, Illinois",Yes,No,Yes,Yes,No,No,No,No,No,No,"St. Vincent de Paul Catholic School provides a nurturing family environment that is traditional, yet progressive.  Students are valued as individuals and taught to utilize their unique abilities to master essential knowledge and skills; actively solve problems; and produce meaningful, relevant work.  St. Vincent de Paul champions each student’s success and teaches to honor the values of Catholic identity through moral integrity and service to others.","Mobile, AL",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esvsschool%2Eorg&urlhash=P0n1&trk=about_website,Primary and Secondary Education,1 employee,null,Educational,97
HYDEFUEL.COM,http://www.hydefuel.com/,"JUL 5, 2024",Up,3422,0,38072,18,"At Hyde Fuel, we offer competitive salaries, great benefits and a pleasant working environment. We are always looking for the ""best and brightest""service technicians, customer service representatives and administrative staff members to join our winning team. If you are interested in a position with Hyde Fuel, please send your resume to Linda@hydefuel.com or contact us here.",No,No,No,Yes,No,No,No,No,No,No,Hyde Fuel delivers fuel and provides full-service heating in the Saranac Lake NY area.,"Tupper Lake, New York",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fhydefuel%2Ecom&urlhash=vpBP&trk=about_website,Retail Groceries,2-10 employees,null,null,3
SVMASONRY.COM,http://www.svmasonry.com/,"JUL 5, 2024",Up,3446,0,27889,110,"svmasonry.com Sun Valley Construction is a company that operates in the Construction industry. It employs 51-100 people and has $5M-$10M of revenue. The companyis headquartered in Phoenix, Arizona.",Yes,No,No,Yes,No,No,No,No,No,Yes,"Sun Valley Construction is #1 of the largest, most respected masonry and concrete contractors in the Southwest. Our scope of work ranges from multi-million dollar sports complexes and government buildings to private residences - each of which we approach with the same level of professionalism and attention to detail.","Phoenix, AZ",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esunvalleyconstruction%2Ecom&urlhash=_HGO&trk=about_website,Construction,"501-1,000 employees","Masonry, Concrete, and Stone Systems",Privately Held,2556
NORTHCOTTAGE.COM,http://www.northcottage.com/,"JUL 5, 2024",Up,3426,0,11692,6,"The mission of the North Cottage Program, Inc. is to provide quality comprehensive residential substance addiction treatment to any addicted personwho desires recovery and meets the objective standards for admission and participation in the essential components of the program. Fulfillment of this mission is guided by these practices and principles: Provision of a safe, welcoming and supportive recovery environment. The availability of treatment regardless of the applicants ability to pay. Priority consideration for underserved or priority populations identified by North Cottage Program, Inc. and the Department of Public Health. An individualized recovery plan that promotes recovery and prepares residents for independent living and an alcohol and drug-free lifestyle upon completion of the program",No,No,Yes,No,No,No,Yes,Yes,No,No,null,"Norton, Massachusetts",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Enorthcottage%2Ecom&urlhash=y2KR&trk=about_website,Mental Health Care,11-50 employees,null,null,42
KINSLERFAMILYDENTISTRY,http://www.kinslerfamilydentistry.com/,"JUL 5, 2024",Up,3518,0,1359,9,"kinslerfamilydentistry Frankfort Dentist - Kinsler Family Dentistry - Dental Care in Frankfort At Kinsler Family Dentistry, your smile is our top priority! Our entire team is dedicated to providing you with the personalized, quality dental care you deserve. During your visit, you will experience all that modern dentistry has to offer, including a list of general, restorative, and cosmetic dental services to meet the needs of the entire family. Our goal is to assist each patient in achieving and maintaining long-term dental health and a beautiful smile! We look forward to caring for you and your family's dental needs!",No,No,Yes,No,No,No,No,No,Yes,No,null,null,null,null,null,null,null,null,null
SYNNOVIS,http://www.synnovis.co.uk/,"JUL 5, 2024",Up,3077,0,201174,613,"Synnovis is a pathology partnership between Guy’s and St Thomas’ NHS Foundation Trust and King’s College Hospitals NHS Trust, and SYNLAB, Europe’s largest provider of medical testing and diagnostics.",No,No,Yes,No,No,No,No,No,Yes,No,"Synnovis is a partnership between SYNLAB UK & Ireland, Guy’s and St Thomas’ NHS Foundation Trust, and King’s College Hospital NHS Foundation Trust, performing more than 32 million pathology tests a year across a network of routine and specialist laboratories.

Serving a population of 1.7 million in south east London, we bring together the very best in clinical, scientific and operational expertise to provide a pathology service which aims to create better outcomes for patients and make a positive difference to people’s health and wellbeing.

We work collaboratively with the NHS, SYNLAB, clinical users and other stakeholders – every sample we process represents an individual patient in our joint care, and we understand the important role we play in continually developing services to meet that important responsibility.","London, England",United Kingdom,null,Medical Practices,"1,001-5,000 employees",null,Partnership,9344
PRINSOTEL.COM,http://www.prinsotel.com/,"JUL 5, 2024",Up,3039,0,0,0,"With more than 50 years of family tradition, the Prinsotel hotels located on the captivating islands of Mallorca and Menorca, stand out in their own light, offering much more than just accommodation. They are homes that welcome each guest with warmth and hospitality, transforming each visit into an unforgettable experience. With a long history of excellence in service, they combine the incomparable beauty of their environments with unsurpassed quality in every detail. At Prinsotel, the family essence merges with the majesty of its landscapes, providing each visitor with an experience of luxury and comfort that lasts in their memories long beyond their stay.",No,No,Yes,Yes,No,No,No,Yes,No,No,"Family owned business, dedicated for over 30 years to providing unforgettable memories to families and couples by the mediterranean sea.

Located in Mallorca and Menorca, our hotels, apartments and villas are characterized by green and beautiful gardens full of bougainvillea, impeccable service and a wide range of gastronomic experiences.","Palma, Balearic Islands",España,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eprinsotel%2Ees&urlhash=2ckE&trk=about_website,Hospitality,201-500 employees,"hospitality, customer service, tourism, leisure travel, travel, and holidays",Privately Held,835
POMALCA.COM.PE,http://www.pomalca.com.pe/,"JUL 5, 2024",Up,2998,0,19630,31.5,"Empresa Agroindustrial Pomalca is a leading agribusiness company based in Chiclayo, Peru. It is one of the country's major sugar producers. The company has more than in sugar cane for production of sugar, molasses, and bagasse, in addition to other agricultural exports from its factory in coastal Lambayeque Region, Peru. It is an exporter of refined sugar to the United States.",No,No,No,Yes,No,No,No,No,No,Yes,null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epomalca%2Ecom%2Epe&urlhash=Tz04&trk=about_website,Food and Beverage Manufacturing,null,null,null,null
THE SEATTLE PUBLIC LIBRARY,http://www.spl.org/,"JUL 5, 2024",Up,2343,13,0,0,"The Seattle Public Library (SPL) is the public library system serving the city of Seattle, Washington. Efforts to start a Seattle library had commenced as early as 1868, with the system eventually being established by the city in 1890. The system currently comprises 27 branches, most of which are named after the neighborhoods in which they are located. The Seattle Public Library also includes Mobile Services and the Central Library, which was designed by Rem Koolhaas and opened in 2004. The Seattle Public Library also founded the Washington Talking Book & Braille Library (WTBBL), which it administered until July 2008. UPGRADE! Soon we will start exhibiting the most interesting things and open our eyes to everything that The Seattle Public Library actually does. Follow the news. A company that wants to hide the fact of hacking and leakage of personal data. About 500 GB of confidential data was downloaded. - Personnel (copies of documents, personal data, etc.) - Contracts (all reports, partner data, etc.) - Finance (reports, transactions, income, financial transactions, partners, contracts, etc.) - Private & Confidential and much more.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,"We bring people, information and ideas together to enrich lives and and build community. Visit us at spl.org.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Espl%2Eorg&urlhash=Cp7r&trk=about_website,,,,,7365
COMMONWEALTH SIGN,http://www.commonwealthsign.com/,"FEB 3, 2024",Up,2889,14,8998,32,The company has chosen to ignore us means its data will be open and available for download below.,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,"Based in Louisville Ky. Commonwealth Sign Company specializes in the manufacture, maintainance and repair of signs.  The company has been operational since 1979 and serves a host of industries, such as automotive, banking, health care, hotel, restaurant, and many more.  The in-house equipment of Commonwealth Sign Company offers a full range of manufacturing options, including vacuum formed, solar grade lexan, aluminum channel letter fabrication, full color digital printing for indoor and outdoor images, etc. Here at Commonwealth Sign Company we are dedicated to excellence and craftsmanship in all facets of our business.
We also service national accounts.  Contact us today for your sign needs.","Louisville, Ky",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ecommonwealthsign%2Ecom&urlhash=2Git&trk=about_website,Advertising Services,11-50 employees,"Graphic Design, Fabrication/Manufacture, Turnkey Installation, Service, Outdoor Signs & Channel Letters, Custom Signs, Monument Signs, Free Standing, Message Board Signs, Unique Signs, Cabinet Signs, Healthcare Signs, Restaurant Signs, Retail Signs, and Banking Signs",Privately Held,656
MORDFIN,http://www.mordfin.com/,"JAN 28, 2024",Up,12289,22,323965,314,"The Mordfin Group was founded in 1922. The company provides accounting, tax, real estate, luxury, auditing, and estate planning services.Now you can download all data from this company.",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"Built upon integrity and trust, The Mordfin Group is a highly regarded tax, accounting and advisory group, operating successfully for more than 90 years. Our unwavering commitment to personal service and responsiveness to our clients' needs has worked to strengthen relationships and build respect in the community. In this deep-rooted, carefully cultivated foundation, opportunities for growth abound. Together, we collaborate on a financial future of limitless possibilities

As clear-sighted, progressive thinkers and creative problem solvers, our firm succeeds in surpassing pace with the challenges and attendant needs confronting you in today's economy. We infuse these strengths with a genuine interest and enthusiasm in assisting you to achieve a sound financial future consistent with your vision.

Whether the challenge lies in growing your business, planning your retirement, or transitioning a business to the next generation, we will provide the knowledge and support you need to confidently and successfully achieve your goals. 

The professionals at The Mordfin Group insist on an in-depth knowledge of the businesses they serve. No professional, however competent, can do you justice until they understand your problems, challenges, and goals from the inside out. At The Mordfin Group your accountant becomes, in effect, a professional extension of your organization, using objectivity to spot a potential problem and proven expertise to solve it.","GREAT NECK, New York",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emordfin%2Ecom&urlhash=YkkM&trk=about_website,Accounting,11-50 employees,"Accounting, Tax, Real Estate, Luxury, Auditing, and Estate Planning",Partnership,387
NEAFIDI,http:// neafidi.it,"JAN 25, 2024",Up,16881,10,102516,88,"On February 2, we will publish personal data, financial statements and other confidential information",Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,"Offriamo alle imprese servizi di garanzia, finanza agevolata e credito diretto.
Promuoviamo la crescita, lo sviluppo e il miglioramento delle aziende socie, efficientando la gestione finanziaria.


Per maggiori dettagli visita il nostro sito o scrivi a commerciale@neafidi.it","Vicenza, VI",Italia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eneafidi%2Eit&urlhash=eje-&trk=about_website,Financial Services,11-50 employees,null,Public Company,1374
WANNAGOCLOUD,http://wannagocloud.com/,"JAN 25, 2024",Up,16415,0,26989,145,you have a few days left until your customers are hurt by you.,No,No,Yes,No,Yes,No,No,Yes,No,No,"Founded in late 2016, WannaGo Cloud Services has gained great momentum in the GCC region while setting exceptionally high standards for itself along the way. 

Data is the new oil. We're heading towards a future where data, analytics and smart insights will be the most priced assets of a business, helping them design better products & services, and give them an edge over the competition. This exponential growth in data must be matched with equal advancements in storage techniques, analytics, connectivity, accessibility and  security; all of which can be enabled by cloud computing.

Cloud technology can no longer be marketed as an 'add-on'. Having access to a reliable back-up,  a scalable IT infrastructure and protection against cyberattacks is a requisite for any business that wants to flourish in an increasingly digitized world.  This is where we, WannaGo Cloud, come in.

Spearheaded by our CEO and Founder, Deepak Verma, we recognized the need for businesses to switch from a CAPEX to OPEX environments, with pay-as-you-go options enabling a more flexible, scalable IT Infrastructure.

The future is cloud-centric, and we want you to be a part of it. Don't procrastinate; we all know what happened to conglomerates such as Blackberry and Yahoo that resisted advantageous change.","Dubai, Dubai",الإمارات العربية المتحدة,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ewannagocloud%2Ecom%2F&urlhash=-68D&trk=about_website,IT Services and IT Consulting,11-50 employees,"cloud services, cloud computing, infrastructure-as-a-service, backup-as-a-service, disaster recovery-as-a-service, firewall-as-a-service, disaster recovery, data loss prevention, and cybersecurity",Privately Held,1435
PROJECTSW,http://www.projects-world.com/,"JAN 19, 2024",Up,26640,14,10115,103,"The company makes a decision to ignore us, all personal data are open and available for download below.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"At Davis Wright Tremaine, we are passionate about seeing women succeed. Project W is our commitment to helping women build great companies, advance their careers, and achieve parity in the workplace.",null,null,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Edwt%2Ecom%2Fabout%2Fproject-w&urlhash=Ef5Q&trk=about_website,Civic and Social Organizations,11-50 employees,null,Partnership,null
F J O'HARA & SONS,http://www.fjohara.com/,"JAN 9, 2024",Up,31140,17,0,0,"F J O'Hara & Sons Inc is a company that operates in the Information Technology and Services industry. It employs 11-20 people and has $5M-$10M of revenue. The company is headquartered in Boston, Massachusetts. We have a lot of data from this company in our hands. In the event that we do not come to an agreement, all data of the company and its customers will be published.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,null,null,null,null,null,null,null,null,null
HALLEONARD,http://www.halleonard.com.au/,"JAN 8, 2024",Up,43913,10,175453,75,"We are a subsidiary of Hal Leonard Corporation who, founded in 1947, is the world leader in the print music industry. Selling products in more than 65 countries around the world, Hal Leonard Corporation represents in print some of the world's best known and respected artists including The Beatles, Miles Davis, Diana Krall, Justin Timberlake and Stevie Wonder as well as the music of Irving Berlin, and Rodgers & Hammerstein. In a result of successful attack on this company we have captured a lot of data: private contracts, agreements, all financial documentation, projects, e-mail correspondence and much more. In a case if this company won't get in touch all data which we have will be accessible for download in a week.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,"Founded in 1947, Hal Leonard is the world's largest provider of music publications and music instruction materials. In its catalog of more than one million titles available in print and digitally, Hal Leonard represents many of the world's best-known and most respected publishers, artists, songwriters, and arrangers. Their global headquarters is in Milwaukee, WI, and their distribution and printing facilities are in Winona, MN. In addition, they have offices abroad in Australia, Belgium, China, Germany, the Netherlands, India, Italy, and Switzerland, as well as in London and Bury St. Edmunds in England.","Milwaukee, Wisconsin",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehalleonard%2Ecom&urlhash=8mq1&trk=about_website,Musicians,"501-1,000 employees",Music publishing,Privately Held,10040
MOLNAR&PARTNER,http://https//www.molnar-bischof.de/,"JAN 8, 2024",Up,40402,15,327914,59,All data of this company will be available for download on 15.01.2024,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,null,null,null,null,null,null,null,null,null
CORINTH COCA-COLA BOTTLING WORKS,http://corinthcoke.com/,"DEC 30, 2023",Up,43195,7,141592,183,"Corinth Coca-Cola Bottling Works Grocery Retail · Mississippi, United States · 109 Employees About Corinth Coca-Cola Bottling Works Inc.: Corinth Coca-Cola Bottling Works, Inc. is a privately held, family-owned Coca-Cola bottling and distribution company. Founded by Avon Kenneth Weaver in 1907 in Corinth, Miss. Weaver descendants continue to own and operat. We have a lot of data from this company in our hands. In the event that we do not come to an agreement, all data of the company and its customers will be published.",Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,null,null,null,null,null,null,null,null,null
EPS.RS,http://eps.rs/,"DEC 24, 2023",Up,47937,24,133978,212,The first part is available for download. The second will be available for download on January 27,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,"Joint stock company Elektroprivreda Srbije as the largest company in Serbia represents economic and energy backbone of the country. The main activities of EPS AD are the production, supply and trade of electricity. EPS is owner a the coal mines, thermopower plant and hydropower plant. EPS supplies electricity to 3,4 Million consumers. 
The founder of Joint stock company Elektroprivreda Srbije is the Republic of Serbia and the founder's rights are exercised by the Government of the Republic of Serbia. The bodies of the Joint Stock Company ""Elektroprivreda Srbije"" are the Assembly, the Supervisory Board and the Executive Board. The Assembly appoints members of the Supervisory Board, while the Supervisory Board appoints the general director and executive directors who make up the Executive Board.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eeps%2Ers&urlhash=5G_C&trk=about_website,,,null,,null
CMS COMMUNICATIONS,http://www.cmsc.com/,"DEC 4, 2023",Up,105886,19,0,0,"CMS Solutions, founded in 1985, is a communications solutions provider. It offers new and refurbished voice, data, mobile products, advanced IP telephone systems and technical support. CMS Solutions serves a wide range of organizations from medium-sized businesses. In the course of a successful attack on this company, we seized more than 500 gigabytes of data. Private contracts, agreements, all financial documentation. Email correspondence and much more. In case this company does not get in touch. All the dates we have will be available for download in a week.",Yes,No,Yes,No,Yes,No,Yes,No,No,No,"Since its founding in 1985, CMS Communications has been a leader in providing Telecom equipment and services. Our goal is to provide superior products and services at affordable prices. CMS maintains relationships with hundreds of equipment and service providers. This allows us to provide the best options for your business. Some of the solutions CMS offers include:

-  New and Refurbished Telecom equipment and IT Hardware
-  UCaaS Cloud based VoIP Phone Systems
-  Cloud Storage, Data Recovery & Hosting
-  Internet Service
-  Repair of Telecom equipment, IT Hardware and Mobile devices

We are your Agnostic, Transparent liaison who will help you disvoer the BEST solution(s) for your company. With over 30 years of experience, CMS Communications is the trusted source for all your Communication needs! ","Chesterfield, MO",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ecmsc%2Ecom&urlhash=Flmf&trk=about_website,Telecommunications,51-200 employees,"ShoreTel Equipment, Wired and Wireless Headsets, Video Conferencing, Networking Switches, Routers and Security Devices, Transceivers (OEM and Third Party), Bulk and Patch Cables, UCaas, Cloud, Saas, Telecommunications, Telecom, RingCentral, Mitel, Vonage, MSTeams, and 8x8",Privately Held,1871
GREAT LAKES TECHNOLOGIES,http://www.greatlakestech.net/,"DEC 4, 2023",Up,103953,16,0,0,"Great Lakes Technologies & Manufacturing LLC promotes a culture of innovation and is committed to eliminating waste, costly duplication of efforts and production start-up problems for our customers. We accomplish this by providing proprietary technologies. 200gb data The entire date will be in public in a week.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,"Power Tool Brands or Homeowners, Customer Service Technical Suppor Organization","Elgin, Illinois",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fgreatlakestec%2Ecom&urlhash=nxLC&trk=about_website,Software Development,11-50 employees,null,null,4
NEUROLOGY CENTER OF NEVADA,http://neurocnv.com/,"DEC 4, 2023",Up,99952,9,94567,198,Neurology Center of Nevada™s medical team specializes in the diagnosis and treatment of the Nervous System and Neurological Disorders. Soon you will be able to download all the data taken from this company.,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Specializes in the diagnosis and treatment of the Nervous System and Neurological Disorders,"Henderson, Nevada",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fneurocnv%2Ecom&urlhash=YF2U&trk=about_website,Medical Practices,11-50 employees,null,null,23
WARE MANUFACTURING,http://www.warepet.com/,"DEC 4, 2023",Up,99310,10,227627,194,"Family-owned for 25 years, we make innovative, fun products that enrich the lives of pets and their people, at a great value.Soon you will be able to download all the data taken from this company.",Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,"Ware Pet Products (formerly Ware Manufacturing, Inc.) has been providing quality products to the pet supplies industry since 1983. Our product offering includes hutches and cages, cat furniture and accessories, small animal treats and accessories, interactive toys for dogs, cats and other small animals, chicken barns and pens and much more.

Still privately owned, Ware is led by an innovative team of professionals that are among the most knowledgeable in the industry. We are passionate about our mission to continuously offer new and exciting products that enhance the lives of pets and their owners alike.  After all, we love our pets, too - and have quite an assortment among our team members, ranging from reptiles, to dogs, cats, rabbits, chickens and more. We even have three office cats and two dogs! 

Ware Cares™ - We are concerned about the carbon pawprint we leave as a company and are committed to using recycled and recyclable material in the manufacturing of our packaging and pet products whenever and wherever possible.","Phoenix, Arizona",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ewarepet%2Ecom&urlhash=J-vH&trk=about_website,Manufacturing,51-200 employees,"pet, manufacturing, cat products, dog products, industry leadership, small animal containment, chicken coops, and bird products",Privately Held,718
YANFENG,http://yanfeng.com/,"NOV 27, 2023",Up,111450,23,123405,525,"Yanfeng is a leading global automotive supplier, focusing on interior, exterior, seating, cockpit electronics, and passive safety, and is exploring new business actively. Yanfeng has more than 240 locations and approximately 57,000 employees worldwide. Below are screenshots confirming that we have a lot of sensitive information in our possession Which will be released in the coming days.",No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,"Yanfeng is a leading global automotive supplier, focusing on interior, exterior, seating, cockpit electronics, and passive safety, and is exploring new business actively. Yanfeng has more than 240 locations and approximately 57,000 employees worldwide. The technical team of 4,200 experts is in 10 R&D centers and other regional offices, with complete capabilities including engineering and software development, styling, and test validation. Focusing on smart cabin and lightweight technology, Yanfeng supports automakers to explore future mobility and provide leading cabin solutions. For more information, please visit www.yanfeng.com.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eyanfeng%2Ecom&urlhash=0Rt_&trk=about_website,,,,,null
EPSTEIN LAW,http://epsteinlawcorp.com/,"NOV 14, 2023",Up,131470,0,0,0,"Established in 1958, Epstein Law serves clients throughout the Greater Vancouver Area. Led by Mark Epstein, we have a reputation for providing quality and professional legal services Soon you will be able to download all the data taken from this company.",No,No,Yes,No,No,No,No,No,No,No,"As aggressive litigators and strong negotiators, the attorneys at The Epstein Law Firm know the law and the courts. Because of our knowledge and experience, we can develop creative solutions to challenging legal situations in a wide range of personal injury cases and civil litigation.","Rochelle Park, New Jersey",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Etheepsteinlawfirm%2Ecom&urlhash=2x1R&trk=about_website,Law Practice,2-10 employees,"Personal Injury, Employment Law, Professional Malpractice, Business Litigation & Civil Litigation, Medical Malpractice, Sexual Harassment, Worker's Compensation, Legal Malpractice, Car Accidents, Trip and Fall Accidents, Construction Accidents, and Products Liability",Privately Held,109
HAESUNG DS CO LTD,http://haesungds.com/,"NOV 14, 2023",Up,129699,6,341893,393,Haesung DS has been a global leader in the semiconductor market since its establishment. Our business consists of lead frame and PKG substrates. Also most of our products are exported to global semiconductor customers. Company data will be made available for download below! Password for zip: P@ssw0rd!,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehaesungind%2Eco%2Ekr%2F&urlhash=x0t1&trk=about_website,null,null,null,null,null
